Ticker
UPS
EW
F
LKQ
RHI
GLW
MGM
WDC
AMZN
INTC
MCHP
TRIP
MCK
MNST
CMG
M
AAP
FL
PDCO
PVH
DG
CNC
DLTR
HRL
AVGO
HPE
ADBE
FDX
CAG
HUM
